ID,hospital/non-hospital,public/private,urban/rural,GW1,GW2,GW3,GS1,GS2,GS3,GS4,GS5,GS6,GH1,GH2,GWM1,WGM2,GWM3,GC1,GC2
1,Non-Hospital,Public,Urban,Tanker truck,500 m or further,Yes,Flush/Pour-flush toilet to tank or pit,Yes,No,No,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Burning in a protected pit,Incinerated (other),No,"No, some but not all have been trained"
2,Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,No,Yes,Yes,"No, bins are not present ",Incinerated (other),Burning in a protected pit,Yes,"Yes, all have been trained"
3,Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,No,No,No,Yes,yes,"No, no hand hygiene facilities at points of care",Yes,"Yes, waste is segregated  into three labelled bins",Burning in a protected pit,Burning in a protected pit,Yes,"No, none have been trained"
4,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,No,No,No,No,Yes,Yes,"No, bins are not present ",Burning in a protected pit,Burning in a protected pit,No,"No, some but not all have been trained"
5,Non-Hospital,Public,Urban,Tube well/Borehole,On premises,No,Pit latrine with slab,No,No,No,No,No,Yes,"No, no handwashing facilities near toilets (within 5 meters)","No, bins are present but do not meet all requirements or waste is not correctly segregated",Open burning ,Open burning ,No,"No, none have been trained"
6,Non-Hospital,Public,Urban,Tanker truck,Up to 500 m,Yes,Pit latrine with slab,Yes,No,No,No,yes,Yes,Yes,"No, bins are not present ",Burning in a protected pit,Burning in a protected pit,No,"No, some but not all have been trained"
7,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,pit latrine with slab,Yes,Yes,No,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),Yes,"No, some but not all have been trained"
8,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,pit latrine with slab,Yes,No,No,No,yes,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),Yes,"Yes, all have been trained"
9,Hospital,Public,Urban,Piped Supply inside the building ,Up to 500 m,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,Yes,yes,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Incinerated (other),Incinerated (other),No,"Yes, all have been trained"
10,Hospital,Private,Urban,Piped Supply inside the building ,On premises,Yes,Pit latrine without slab,Yes,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Burning in a protected pit,Burning in a protected pit,No,"No, none have been trained"
11,Non-Hospital,Public,Rural,No water source or patients bring water from home,500 m or further,No,pit latrine with slab,No,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Open burning ,Open burning ,No,"No, there are no staff responsible for cleaning "
12,Non-Hospital,Private,Rural,Other,500 m or further,Yes,pit latrine with slab,Yes,No,No,No,No,Yes,"No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Burning in a protected pit,Burning in a protected pit,No,"No, none have been trained"
13,Non-Hospital,Public,Rural,Other,500 m or further,No,pit latrine with slab,Yes,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Open burning ,Other,No,"No, none have been trained"
14,Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,pit latrine with slab,Yes,Yes,Yes,Yes,yes,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Burning in a protected pit,Burning in a protected pit,No,"No, none have been trained"
15,Non-Hospital,Public,Urban,No water source or patients bring water from home,500 m or further,No,pit latrine with slab,No,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are not present ",Open burning ,Open burning ,No,"No, some but not all have been trained"
16,Non-Hospital,Public,Rural,Protected dug well,Up to 500 m,Yes,pit latrine with slab,Yes,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Burning in a protected pit,Burning in a protected pit,No,"No, none have been trained"
17,Non-Hospital,Public,Rural,Tanker truck,Up to 500 m,Yes,pit latrine with slab,Yes,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Burning in a protected pit,Burning in a protected pit,Yes,"No, none have been trained"
18,Non-Hospital,Public,Rural,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,Yes,yes,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),Yes,"Yes, all have been trained"
19,Hospital,Private,Rural,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,Yes,No,Yes,Yes,"No, bins are present but do not meet all requirements or waste is not correctly segregated",Incinerated (other),Open burning ,No,"Yes, all have been trained"
20,Non-Hospital,Public,Rural,Tube well/Borehole,500 m or further,Yes,pit latrine with slab,No,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Open burning ,Burning in a protected pit,No,"No, none have been trained"
21,Non-Hospital,Private,Rural,Tube well/Borehole,On premises,Yes,pit latrine with slab,Yes,Yes,Yes,No,No,Yes,Yes,"No, bins are not present ",Incinerated (other),Incinerated (other),Yes,"No, none have been trained"
22,Non-Hospital,Private,Rural,Piped Supply inside the building ,Up to 500 m,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,No,No,No,Yes,Yes,"No, bins are not present ","Not treated, but burried in lined, protected pit","Not treated, but buried in lined, protected pit",No,"No, none have been trained"
